,url,comment,page_file
36584,/comment/36584,"Our cottage has been in my family for five generations. It is a very important connecting point for us all. During our time there we have been good stewards of the land and have always complied with the ongoing wishes of the province. It is time for us to have some security in the future of our tenancy at Rondeau. I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-3.json
36586,/comment/36586,"As a long time visitor to Rondeau Park it would be a shame to see the cottagers go. They are ambassadors to the park and I feel that they are more eco responsible than the short term visitors to the campground. it is a pleasure to ride around the park on out bicycles and see the vibrant and friendly personalities who are quick to wave and say hello. It is for this reason I feel the 3 year extension would be valuable with an eye to allowing these cottages to stay on forever
",comments-3.json
36589,/comment/36589,"We have a cottage in Rondeau - one that has many family memories attached to it - it is important to us and our family. We support the community when we are there - spending money and visiting local attractions. Our family is in full support of the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-4.json
36591,/comment/36591,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-4.json
36595,/comment/36595,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-4.json
36596,/comment/36596,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-4.json
36597,/comment/36597,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-4.json
36598,/comment/36598,"I feel that a 3 year extension to the cottage leases could be an acceptable compromise while working on ways to extend the lifetime of leases. Thia will allow the Ministry the ability to set in place the goals for long term sustainability of the park while also allowing the cottagers the ability to have input into what they feel need to be worked on from their side of things. I do feel that at the end of this a long term agreement could be of great benefit to all parties as cottagers could then make long awaited repairs and replacement of items that would be economically sensitive while also allowing the beauty and nature of Rondeau to be front and centre.
",comments-4.json
36601,/comment/36601,"I support the continuation of the Rondeau cottage community in perpetuity.  I support the three-year lease extension as described in ERO Policy Proposal 019-0907. This lease extension should be granted automatically to all existing leaseholders. This time should be used to reach a permanent solution that will ensure the cottage community remains forever.  If a permanent solution is reached prior to the three-year deadline, I support it being implemented as soon as possible.
",comments-4.json
36603,/comment/36603,"I support the 3 year lease extension, but think it should be automatic.  The bigger issue is to address and resolve the long term solution for cottages at Rondeau Park.  Unfortunately previous governments have never truly dealt with the fundamental need to give us certainty of residence there.  I am told it might be different this time.  We have been there for 5 generations, and want to be there for another 5, ......without all the drama.  My hope is it doesn’t take another 3 years to achieve that. if This government doesn’t act quickly, out future will there, once again, be at risk.  Our association is there to help and facilitate that closure in any way they can
Regards,
3rd generation cottager.
",comments-4.json
