ADDRESSNUM,ADDRESSSTR,ASSETTYPE,SIDE,WARD,Lon,Lat
800,King St W,Post & Ring,North,19,-79.40729141,43.643032068770395
2,Russell St,Post & Ring,West,20,-79.39733505,43.66082443436923
604,Christie St,Post & Ring,South,21,-79.42484379,43.68003923450593
834,St Clair Ave W,Post & Ring,North,21,-79.43140984,43.680597892709585
55,Bloor St W,Other,South,27,-79.38900948,43.669703119462156
25,Oxley St,Post & Ring,South,20,-79.39420223,43.646417060876615
464,Spadina Ave,Post & Ring,West,20,-79.40012455,43.65765759262686
10,Lower Jarvis St,Rack,West,28,-79.36974049,43.64498855536024
1674,St Clair Ave W,Post & Ring,North,17,-79.4581461,43.674700682665446
455,Cosburn Ave,Post & Ring,South,29,-79.33553696,43.69242160434331
489,Wellington St W,Post & Ring,South,20,-79.3985796,43.64309418043507
809,Danforth Ave,Post & Ring,South,30,-79.34133053,43.679542645069006
184,Augusta Ave,Post & Ring,West,20,-79.40184116,43.653962732819394
2,Greenwood Ave,Post & Ring,West,30,-79.32549477,43.66461200610351
86,Sudbury St,Post & Ring,North,18,-79.42261219,43.64135502954997
1087,Dundas St E,Post & Ring,East,30,-79.34369087,43.663742748472686
71,Grenville St,Post & Ring,South,27,-79.38699245,43.66129013230233
530,Adelaide St W,Post & Ring,North,20,-79.40162659,43.64557859436533
947,Queen St E,Post & Ring,South,30,-79.33982849,43.661041760520845
1928,Gerrard St E,Post & Ring,North,32,-79.31146145,43.680597892709585
60,Yonge St,Post & Ring,West,28,-79.37763691,43.64837343722266
572A,Church St,Post & Ring,West,27,-79.38132763,43.66641257115569
495,Front St E,Post & Ring,South,28,-79.35394764,43.65346592760736
110,St George St,Post & Ring,West,20,-79.39823627,43.66287347825502
890,Yonge St,Post & Ring,West,27,-79.38819408,43.673490131015626
525,Adelaide St E,Post & Ring,South,28,-79.36497688,43.652844915312784
216,Vaughan Rd,Post & Ring,West,21,-79.42385674,43.68751861569689
1496,Yonge St,Post & Ring,West,22,-79.39445972,43.688759916535844
1564,Yonge St,Post & Ring,West,22,-79.39497471,43.68997016012065
215,Spadina Ave,Post & Ring,East,20,-79.3969059,43.65060922
1590,Queen St E,Post & Ring,North,32,-79.31798458,43.66607108883039
1436,Queen St W,Post & Ring,North,14,-79.4357872,43.640827063069764
