comments,id,issues,latitude,longitude,parking_duration,parking_time,issue_not_provided,issue_full,issue_damaged,issue_abandoned,issue_other,Status,Notes,View,Survey Date
I'm **** **** there wasn't parking.,111,['full'],43.67179036,-79.38711676,hours,"Wed, 05 Jun 2019 23:00:29 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,112,['not_provided'],43.60478121,-79.51438303,hours,"Sun, 28 Jul 2019 20:22:26 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,113,['not_provided'],43.65304026,-79.37120299,hours,"Wed, 06 Jun 2018 19:41:28 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,114,['not_provided'],43.76810273,-79.41301457,hours,"Sun, 10 Jun 2018 20:09:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,Invalid,Duplicate of #89,🌎👀,
,115,['not_provided'],43.64849556,-79.37345115,hours,"Fri, 15 Jun 2018 00:30:00 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,116,['not_provided'],43.64763638,-79.37279893,overnight,"Mon, 18 Jun 2018 13:43:39 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,117,['damaged'],43.6393284,-79.3810697,minutes,"Wed, 20 Jun 2018 00:12:33 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,118,['damaged'],43.6395299,-79.3810923,minutes,"Wed, 20 Jun 2018 00:40:26 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,119,['other'],43.6580617,-79.3864974,hours,"Mon, 25 Jun 2018 23:43:46 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,Invalid,Duplicate of #96,🌎👀,
,121,['other'],43.6931427,-79.3023312,hours,"Wed, 27 Jun 2018 12:12:55 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,122,['other'],43.64853598,-79.39263483,hours,"Wed, 27 Jun 2018 17:41:08 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
very popular spot and posts in front of CSI Spadina are at capacity,123,['full'],43.65040168,-79.39678219,minutes,"Thu, 21 Jun 2018 20:28:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
The owners of the parking garage at 438 University should be lobbied to restore their secure bike locker for the tenants in the building above.,124,['not_provided'],43.6544133,-79.3885259,hours,"Fri, 29 Jun 2018 16:09:27 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,125,['full'],43.66115675,-79.41326201,minutes,"Fri, 29 Jun 2018 23:05:01 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
Need more secure options around this area. It's crawling with junkies and thieves that will steal anything off your bike :(,126,['other'],43.65571326,-79.38308908,hours,"Fri, 29 Jun 2018 00:00:00 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,127,['full'],43.64730516,-79.36151878,hours,"Tue, 03 Jul 2018 23:05:30 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,128,['other'],43.6929846,-79.3024982,hours,"Thu, 05 Jul 2018 04:32:21 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,129,['not_provided'],43.6580617,-79.3864974,minutes,"Thu, 05 Jul 2018 17:03:32 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,130,['damaged'],43.6580617,-79.3864974,minutes,"Fri, 06 Jul 2018 14:31:17 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,131,['not_provided'],43.6799055,-79.3450112,hours,"Sat, 07 Jul 2018 21:53:46 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,Resolved,Several parking options by the station,🌎👀,2024-03-23
Christie pits public pool,132,['full'],43.6657913,-79.4206001,minutes,"Sun, 08 Jul 2018 21:25:20 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
Was trying to park on the east side of Spadina north of Dundas. There are only a few ring and posts near the intersection. I wound up walking a while north to find something. ,133,['full'],43.65314814,-79.39782705,minutes,"Thu, 05 Jul 2018 21:00:00 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
Kendall and spading. No Post & Rings near the alliance francaise. TV ,134,['not_provided'],43.6663814,-79.3723599,hours,"Fri, 13 Jul 2018 19:53:57 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,135,['other'],43.6695898,-79.4090437,minutes,"Wed, 06 Jun 2018 20:05:01 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,136,['damaged'],43.4627162,-80.5440532,multiday,"Sat, 09 Jun 2018 17:49:21 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,137,['not_provided'],43.6155885,-79.5559536,minutes,"Mon, 11 Jun 2018 15:32:12 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,138,['other'],43.6398498,-79.3811121,multiday,"Wed, 13 Jun 2018 00:18:59 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
There’s never enough bike parking here. ,139,['full'],43.6718715,-79.38720233,hours,"Wed, 05 Jun 2019 23:24:15 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,140,['not_provided'],43.60416619,-79.51863684,hours,"Mon, 29 Jul 2019 20:55:18 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,141,"['damaged', 'full']",43.65353146,-79.37130576,hours,"Mon, 18 Jun 2018 19:17:55 GMT",FALSE,TRUE,TRUE,FALSE,FALSE,,,🌎👀,
,142,['full'],43.6580617,-79.3864974,minutes,"Wed, 20 Jun 2018 00:17:32 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,143,['damaged'],43.6395299,-79.3810923,minutes,"Wed, 20 Jun 2018 00:40:26 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,Invalid,Duplicate of #118,🌎👀,
,144,['damaged'],43.67220228,-79.46720724,minutes,"Thu, 21 Jun 2018 23:18:43 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,146,['damaged'],43.6931427,-79.3023312,multiday,"Wed, 27 Jun 2018 12:14:03 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,147,['other'],43.6580617,-79.3864974,multiday,"Wed, 27 Jun 2018 18:31:38 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,148,['full'],43.6075033,-79.7034114,hours,"Fri, 29 Jun 2018 17:34:55 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,149,['not_provided'],43.65359061,-79.36761465,hours,"Fri, 29 Jun 2018 23:42:56 GMT",TRUE,FALSE,FALSE,FALSE,FALSE,,,🌎👀,
,150,['other'],43.69848,-79.3014735,multiday,"Mon, 02 Jul 2018 15:43:28 GMT",FALSE,FALSE,FALSE,FALSE,TRUE,,,🌎👀,
,151,['damaged'],43.6580617,-79.3864974,minutes,"Sun, 01 Apr 2018 01:08:03 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
,152,['full'],43.6580617,-79.3864974,hours,"Sun, 01 Apr 2018 01:10:27 GMT",FALSE,TRUE,FALSE,FALSE,FALSE,,,🌎👀,
,153,['damaged'],43.6580617,-79.3864974,hours,"Sun, 01 Apr 2018 00:46:30 GMT",FALSE,FALSE,TRUE,FALSE,FALSE,,,🌎👀,
