,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RSN,SITE_ADDRESS_x,WARD,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,bike_parking_indoor,bike_parking_outdoor,SITE_ADDRESS_y,LATITUDE,LONGITUDE,geometry,ward_code,ward_name,ward_full,neighbourhood_number,neighbourhood_name,neighbourhood_classification,neighbourhood_classification_code,BICYCLE_ZONE,short_term_min,short_term_max,long_term,short_term_min_unmet,short_term_max_unmet,long_term_unmet,total_unmet_min,total_req_min,pc_unmet
2279,Not Available,10,119,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4153120,25  BISHOP TUTU BLVD ,10,1987,,2017,,,25 BISHOP TUTU BLVD,43.635725128,-79.399857548,POINT (-79.399857548 43.635725128),10,Spadina-Fort York,Spadina-Fort York (10),163,Fort York-Liberty Village,Not an NIA or Emerging Neighbourhood,NA,1,12,24,108,12,24,108,120,120,1.0
2280,Not Available,4,16,,PRIVATE,4153687,2150  QUEEN ST E,19,1923,,2017,,,2150 QUEEN ST E,43.671968236,-79.29178994,POINT (-79.29178994 43.671968236),19,Beaches-East York,Beaches-East York (19),063,The Beaches,Not an NIA or Emerging Neighbourhood,NA,1,2,4,15,2,4,15,17,17,1.0
2281,Not Available,3,19,,PRIVATE,4153688,59  BALSAM AVE ,19,1927,,2020,,,59 BALSAM AVE,43.6724728988,-79.2898813658,POINT (-79.2898813658 43.6724728988),19,Beaches-East York,Beaches-East York (19),063,The Beaches,Not an NIA or Emerging Neighbourhood,NA,1,2,4,18,2,4,18,20,20,1.0
2282,25 indoor parking spots and 0 outdoor parking spots,6,48,SIGNET GROUP INC.,PRIVATE,4153701,1636  GERRARD ST E,19,1960,,2017,25,0,1636 GERRARD ST E,43.675962884,-79.319872249,POINT (-79.319872249 43.675962884),19,Beaches-East York,Beaches-East York (19),064,Woodbine Corridor,Not an NIA or Emerging Neighbourhood,NA,1,5,10,44,5,10,19,24,49,0.4897959183673469
2283,Not Available,5,108,TORONTO COMMUNITY HOUSING CORPORATION,TCHC,4153714,520  KINGSTON RD ,19,1992,,2017,,,520 KINGSTON RD,43.67824727,-79.302446163,POINT (-79.302446163 43.67824727),19,Beaches-East York,Beaches-East York (19),062,East End-Danforth,Not an NIA or Emerging Neighbourhood,NA,1,11,22,98,11,22,98,109,109,1.0
2284,Not Available,7,149,,SOCIAL HOUSING,4153148,1289  DUNDAS ST W,09,1986,2014,2017,,,1289 DUNDAS ST W,43.649212821,-79.425416097,POINT (-79.425416097 43.649212821),09,Davenport,Davenport (09),084,Little Portugal,Not an NIA or Emerging Neighbourhood,NA,1,15,30,135,15,30,135,150,150,1.0
2285,Not Available,4,27,GULBURG INC.,PRIVATE,4153149,225  GLADSTONE AVE ,09,1911,,2019,,,225 GLADSTONE AVE,43.6493592565,-79.4295355197,POINT (-79.4295355197 43.6493592565),09,Davenport,Davenport (09),084,Little Portugal,Not an NIA or Emerging Neighbourhood,NA,1,3,6,25,3,6,25,28,28,1.0
2286,0 indoor parking spots and 50 outdoor parking spots,4,72,AYKLER REAL ESTATE INC.,PRIVATE,4153151,805  COLLEGE ST ,11,1929,,2017,0,50,805 COLLEGE ST,43.6543880918,-79.4216105716,POINT (-79.4216105716 43.6543880918),11,University-Rosedale,University-Rosedale (11),081,Trinity-Bellwoods,Not an NIA or Emerging Neighbourhood,NA,1,8,15,65,-42,-35,65,23,73,0.3150684931506849
2287,0 indoor parking spots and 30 outdoor parking spots,3,31,KING AND PARK INC.,PRIVATE,4153153,34  HEYDON PARK RD ,09,1925,,2018,0,30,34 HEYDON PARK RD,43.652968445,-79.427022547,POINT (-79.427022547 43.652968445),09,Davenport,Davenport (09),084,Little Portugal,Not an NIA or Emerging Neighbourhood,NA,1,4,7,28,-26,-23,28,2,32,0.0625
2288,8 indoor parking spots and 32 outdoor parking spots,3,43,HANNAH PROPERTY MANAGEMENT LTD.,PRIVATE,4153159,1044  COLLEGE ST ,09,1930,,2017,8,32,1044 COLLEGE ST,43.653199472,-79.430277706,POINT (-79.430277706 43.653199472),09,Davenport,Davenport (09),083,Dufferin Grove,Not an NIA or Emerging Neighbourhood,NA,1,5,9,39,-27,-23,31,4,44,0.09090909090909091
2289, indoor parking spots and  outdoor parking spots,4,11,CHARLES DIEU,PRIVATE,4153161,1121  BLOOR ST W,09,1926,,,,,1121 BLOOR ST W,43.659758114,-79.434864769,POINT (-79.434864769 43.659758114),09,Davenport,Davenport (09),083,Dufferin Grove,Not an NIA or Emerging Neighbourhood,NA,1,2,3,10,2,3,10,12,12,1.0
2290,31 indoor parking spots and 0 outdoor parking spots,4,28,SWISS CANADIAN MANAGEMENT CO. LTD.,PRIVATE,4153737,45  GLEN RD ,11,1955,,2018,31,0,45 GLEN RD,43.6746275863,-79.3751897997,POINT (-79.3751897997 43.6746275863),11,University-Rosedale,University-Rosedale (11),098,Rosedale-Moore Park,Not an NIA or Emerging Neighbourhood,NA,1,3,6,26,3,6,-5,-2,29,-0.06896551724137931
2291,0 indoor parking spots and 15 outdoor parking spots,4,37,HD PROPERTY MANAGEMENT,PRIVATE,4153740,1233  YONGE ST ,11,1980,,2018,0,15,1233 YONGE ST,43.6837736438,-79.3918217726,POINT (-79.3918217726 43.6837736438),11,University-Rosedale,University-Rosedale (11),098,Rosedale-Moore Park,Not an NIA or Emerging Neighbourhood,NA,1,4,8,34,-11,-7,34,23,38,0.6052631578947368
